,Store,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionOpenSince,Promo2Since,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c
0,1,1270.0,09,2008,0,01,1800,None,2008-09-01,1800-01-05,0,0,1,0,1,0,0
1,2,570.0,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2007-11-01,2010-03-28,1,0,0,0,1,0,0
2,3,14130.0,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",2006-12-01,2011-04-03,1,0,0,0,1,0,0
3,4,620.0,09,2009,0,01,1800,None,2009-09-01,1800-01-05,0,0,1,0,0,0,1
4,5,29910.0,04,2015,0,01,1800,None,2015-04-01,1800-01-05,1,0,0,0,1,0,0
5,6,310.0,12,2013,0,01,1800,None,2013-12-01,1800-01-05,1,0,0,0,1,0,0
6,7,24000.0,04,2013,0,01,1800,None,2013-04-01,1800-01-05,1,0,0,0,0,0,1
7,8,7520.0,10,2014,0,01,1800,None,2014-10-01,1800-01-05,1,0,0,0,1,0,0
8,9,2030.0,08,2000,0,01,1800,None,2000-08-01,1800-01-05,1,0,0,0,0,0,1
9,10,3160.0,09,2009,0,01,1800,None,2009-09-01,1800-01-05,1,0,0,0,1,0,0
10,11,960.0,11,2011,1,01,2012,"Jan,Apr,Jul,Oct",2011-11-01,2012-01-01,1,0,0,0,0,0,1
11,12,1070.0,01,1800,1,13,2010,"Jan,Apr,Jul,Oct",1800-01-01,2010-03-28,1,0,0,0,0,0,1
12,13,310.0,01,1800,1,45,2009,"Feb,May,Aug,Nov",1800-01-01,2009-11-08,0,0,0,1,1,0,0
13,14,1300.0,03,2014,1,40,2011,"Jan,Apr,Jul,Oct",2014-03-01,2011-10-02,1,0,0,0,1,0,0
14,15,4110.0,03,2010,1,14,2011,"Jan,Apr,Jul,Oct",2010-03-01,2011-04-03,0,0,0,1,0,0,1
15,16,3270.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,0,0,1
16,17,50.0,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",2005-12-01,2010-06-27,1,0,0,0,1,0,0
17,18,13840.0,06,2010,1,14,2012,"Jan,Apr,Jul,Oct",2010-06-01,2012-04-01,0,0,0,1,0,0,1
18,19,3240.0,01,1800,1,22,2011,"Mar,Jun,Sept,Dec",1800-01-01,2011-05-29,1,0,0,0,0,0,1
19,20,2340.0,05,2009,1,40,2014,"Jan,Apr,Jul,Oct",2009-05-01,2014-10-05,0,0,0,1,1,0,0
20,21,550.0,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",1999-10-01,2009-11-08,0,0,1,0,0,0,1
21,22,1040.0,01,1800,1,22,2012,"Jan,Apr,Jul,Oct",1800-01-01,2012-05-27,1,0,0,0,1,0,0
22,23,4060.0,08,2005,0,01,1800,None,2005-08-01,1800-01-05,0,0,0,1,1,0,0
23,24,4590.0,03,2000,1,40,2011,"Jan,Apr,Jul,Oct",2000-03-01,2011-10-02,1,0,0,0,0,0,1
24,25,430.0,04,2003,0,01,1800,None,2003-04-01,1800-01-05,0,0,1,0,1,0,0
25,26,2300.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,1,0,0
26,27,60.0,01,2005,1,05,2011,"Jan,Apr,Jul,Oct",2005-01-01,2011-01-30,1,0,0,0,1,0,0
27,28,1200.0,10,2014,1,06,2015,"Mar,Jun,Sept,Dec",2014-10-01,2015-02-08,1,0,0,0,1,0,0
28,29,2170.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,0,0,1
29,30,40.0,02,2014,1,10,2014,"Mar,Jun,Sept,Dec",2014-02-01,2014-03-09,1,0,0,0,1,0,0
30,31,9800.0,07,2012,0,01,1800,None,2012-07-01,1800-01-05,0,0,0,1,0,0,1
31,32,2910.0,01,1800,1,45,2009,"Feb,May,Aug,Nov",1800-01-01,2009-11-08,1,0,0,0,1,0,0
32,33,1320.0,05,2013,0,01,1800,None,2013-05-01,1800-01-05,1,0,0,0,0,0,1
33,34,2240.0,09,2009,0,01,1800,None,2009-09-01,1800-01-05,0,0,1,0,1,0,0
34,35,7660.0,10,2000,1,01,2012,"Jan,Apr,Jul,Oct",2000-10-01,2012-01-01,0,0,0,1,0,0,1
35,36,540.0,06,2003,1,40,2014,"Jan,Apr,Jul,Oct",2003-06-01,2014-10-05,1,0,0,0,0,0,1
36,37,4230.0,12,2014,0,01,1800,None,2014-12-01,1800-01-05,0,0,1,0,1,0,0
37,38,1090.0,04,2007,0,01,1800,None,2007-04-01,1800-01-05,0,0,0,1,1,0,0
38,39,260.0,10,2006,1,31,2013,"Feb,May,Aug,Nov",2006-10-01,2013-08-04,1,0,0,0,1,0,0
39,40,180.0,01,1800,1,45,2009,"Feb,May,Aug,Nov",1800-01-01,2009-11-08,1,0,0,0,1,0,0
40,41,1180.0,01,1800,1,31,2013,"Jan,Apr,Jul,Oct",1800-01-01,2013-08-04,0,0,0,1,0,0,1
41,42,290.0,01,1800,1,40,2011,"Jan,Apr,Jul,Oct",1800-01-01,2011-10-02,1,0,0,0,0,0,1
42,43,4880.0,01,1800,1,37,2009,"Jan,Apr,Jul,Oct",1800-01-01,2009-09-13,0,0,0,1,1,0,0
43,44,540.0,06,2011,0,01,1800,None,2011-06-01,1800-01-05,1,0,0,0,1,0,0
44,45,9710.0,02,2014,0,01,1800,None,2014-02-01,1800-01-05,0,0,0,1,1,0,0
45,46,1200.0,09,2005,1,14,2011,"Jan,Apr,Jul,Oct",2005-09-01,2011-04-03,0,0,1,0,1,0,0
46,47,270.0,04,2013,1,14,2013,"Jan,Apr,Jul,Oct",2013-04-01,2013-04-07,1,0,0,0,0,0,1
47,48,1060.0,05,2012,0,01,1800,None,2012-05-01,1800-01-05,1,0,0,0,1,0,0
48,49,18010.0,09,2007,0,01,1800,None,2007-09-01,1800-01-05,0,0,0,1,0,0,1
49,50,6260.0,11,2009,0,01,1800,None,2009-11-01,1800-01-05,0,0,0,1,1,0,0
50,51,10570.0,07,2013,1,09,2011,"Jan,Apr,Jul,Oct",2013-07-01,2011-02-27,1,0,0,0,0,0,1
51,52,450.0,04,2014,1,39,2010,"Jan,Apr,Jul,Oct",2014-04-01,2010-09-26,0,0,0,1,0,0,1
52,53,30360.0,09,2013,0,01,1800,None,2013-09-01,1800-01-05,1,0,0,0,0,0,1
53,54,7170.0,08,2014,1,05,2013,"Feb,May,Aug,Nov",2014-08-01,2013-02-03,0,0,0,1,0,0,1
54,55,720.0,11,2004,0,01,1800,None,2004-11-01,1800-01-05,1,0,0,0,1,0,0
55,56,6620.0,03,2012,1,10,2014,"Mar,Jun,Sept,Dec",2012-03-01,2014-03-09,0,0,0,1,0,0,1
56,57,420.0,06,2014,0,01,1800,None,2014-06-01,1800-01-05,0,0,0,1,0,0,1
57,58,7340.0,05,2008,1,27,2012,"Jan,Apr,Jul,Oct",2008-05-01,2012-07-01,1,0,0,0,0,0,1
58,59,2840.0,06,2007,1,14,2011,"Jan,Apr,Jul,Oct",2007-06-01,2011-04-03,1,0,0,0,0,0,1
59,60,5540.0,10,2009,0,01,1800,None,2009-10-01,1800-01-05,0,0,0,1,0,0,1
60,61,350.0,12,2007,1,01,2012,"Jan,Apr,Jul,Oct",2007-12-01,2012-01-01,1,0,0,0,0,0,1
61,62,2050.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
62,63,3700.0,06,2010,1,18,2010,"Feb,May,Aug,Nov",2010-06-01,2010-05-02,0,0,1,0,0,0,1
63,64,22560.0,01,1800,1,14,2013,"Jan,Apr,Jul,Oct",1800-01-01,2013-04-07,0,0,0,1,0,0,1
64,65,13840.0,05,2010,1,01,2012,"Jan,Apr,Jul,Oct",2010-05-01,2012-01-01,1,0,0,0,0,0,1
65,66,7660.0,01,1800,1,37,2009,"Jan,Apr,Jul,Oct",1800-01-01,2009-09-13,0,0,0,1,1,0,0
66,67,410.0,02,2006,0,01,1800,None,2006-02-01,1800-01-05,1,0,0,0,0,0,1
67,68,250.0,01,1800,1,35,2012,"Mar,Jun,Sept,Dec",1800-01-01,2012-08-26,1,0,0,0,0,0,1
68,69,1130.0,01,1800,1,40,2011,"Jan,Apr,Jul,Oct",1800-01-01,2011-10-02,0,0,1,0,0,0,1
69,70,4840.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,1,0,0,0,1
70,71,17500.0,08,2008,1,37,2009,"Mar,Jun,Sept,Dec",2008-08-01,2009-09-13,1,0,0,0,1,0,0
71,72,2200.0,12,2009,1,13,2010,"Jan,Apr,Jul,Oct",2009-12-01,2010-03-28,1,0,0,0,1,0,0
72,73,1650.0,09,2008,0,01,1800,None,2008-09-01,1800-01-05,1,0,0,0,0,0,1
73,74,330.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
74,75,22440.0,12,2013,0,01,1800,None,2013-12-01,1800-01-05,0,0,0,1,0,0,1
